review_id	sentiment	label_id	input_ids	review_body	date
8291	-1	0	[0, 133, 1521, 16, 2721, 53, 24, 21, 7992, 8, 350, 3279, 13, 10, 1035, 515, 939, 21, 1884, 15, 2498, 24, 7, 4, 1437, 67, 1437, 5, 27595, 874, 5, 7050, 21, 9800, 4, 1437, 956, 7, 671, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	The design is beautiful but it was thick and too warm for a summer event i was planning on wearing it to.  also  the seam below the chest was uncomfortable.  needed to return	2022-06-24T08:02:18Z
12014	0	1	[0, 100, 21, 2283, 7, 1325, 11, 1991, 7, 3568, 55, 25, 10, 27115, 636, 81, 2972, 5246, 918, 1954, 10, 3588, 13, 1136, 4, 42, 1237, 98, 3036, 182, 739, 4, 5, 1468, 16, 7992, 1437, 8, 5, 6184, 16, 95, 15983, 4, 399, 75, 109, 932, 13, 127, 1946, 19487, 3989, 4, 1835, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I was excited to receive in hopes to wear more as a tunic over skinnies vs a dress for fall. this runs sooo very large. the material is thick  and the pattern is just ok. didn't do anything for my hourglass shape. returned.	2022-06-24T08:02:18Z
17612	1	2	[0, 713, 3588, 21, 657, 23, 78, 6112, 4, 1437, 939, 222, 33, 7, 1836, 159, 31, 127, 2340, 1836, 53, 5, 3588, 16, 98, 3473, 8, 3035, 4, 1437, 25, 277, 37102, 26, 1437, 24, 473, 17652, 71, 78, 10397, 53, 1969, 122, 187, 939, 524, 195, 108, 176, 845, 1437, 24, 15383, 3153, 59, 65, 10468, 11, 5933, 129, 4, 1437, 939, 300, 171, 33391, 8, 127, 1623, 26, 24, 21, 2721, 12, 14, 18, 10, 2704, 328, 939, 21, 3473, 8, 3035, 70, 183, 4, 1437, 120, 24, 137, 24, 16, 66, 9, 388, 4, 1437, 42, 3588, 40, 45, 146, 24, 7, 1392, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"This dress was love at first sight.  i did have to size down from my normal size but the dress is so comfortable and cool.  as another reviewer said  it does shrink after first wash but perfect now since i am 5'2"".  it shrank about one inch in length only.  i got many compliments and my husband said it was beautiful- that's a plus! i was comfortable and cool all day.  get it before it is out of stock.  this dress will not make it to sale."	2022-06-24T08:02:18Z
4019	-1	0	[0, 100, 6640, 42, 299, 8578, 53, 939, 222, 45, 206, 24, 21, 966, 455, 425, 4, 939, 802, 24, 21, 129, 674, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I liked this top okay but i did not think it was worth full price. i thought it was only average.	2022-06-24T08:02:18Z
6386	1	2	[0, 20930, 15, 97, 6173, 939, 21, 24668, 7, 645, 1437, 53, 939, 2638, 5, 8089, 8, 1521, 11, 5, 3089, 11556, 4, 24, 21, 15, 538, 1392, 98, 939, 362, 10, 778, 8, 115, 45, 28, 55, 4343, 4, 24, 16, 182, 11708, 25, 97, 34910, 33, 1581, 98, 939, 21, 4804, 14, 4, 939, 3568, 10, 740, 5602, 223, 823, 960, 98, 117, 936, 13, 162, 4, 5, 8089, 32, 326, 36807, 8, 939, 64, 3568, 157, 88, 1136, 159, 259, 11, 2077, 43601, 4, 89, 58, 10, 367, 33940, 9, 15019, 7209, 31, 1337, 39336, 53, 939, 18399, 33914, 19, 36063, 4, 114, 47, 32, 7671, 7, 5, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Based on other reviews i was hesitant to order  but i loved the colors and design in the blouse. it was on major sale so i took a chance and could not be more pleased. it is very sheer as other reviewers have noted so i was expecting that. i wear a cami under nearly everything so no problem for me. the colors are tdf and i can wear well into fall down here in south ms. there were a few strands of thread hanging from various seams but i gently clipped with scissors. if you are attracted to the to	2022-06-24T08:02:18Z
796	1	2	[0, 100, 37282, 42, 9659, 196, 29693, 24787, 23204, 29582, 11, 4066, 1437, 1844, 2272, 4, 1318, 16, 372, 4364, 31, 5, 14893, 145, 2241, 11538, 15, 182, 29213, 4, 24, 18, 10, 372, 15705, 10490, 11, 5, 3279, 3285, 13011, 1594, 43052, 1136, 73, 31421, 4, 939, 437, 2498, 24, 452, 19, 10, 765, 30145, 5202, 29693, 24787, 3588, 11, 18521, 29868, 13, 1198, 12, 27790, 13738, 15330, 18279, 8, 2157, 30228, 1437, 12298, 1437, 23889, 1437, 8, 3279, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I adore this hooded boiled wool sweatercoat in rich  deep green. quality is great aside from the buttons being sawn on very loosely. it's a great outer layer in the warm northern california fall/winter. i'm wearing it today with a short sleeved boiled wool dress in burgundy for pre-christmas eve cocktails and feeling classy  festive  cozy  and warm.	2022-06-24T08:02:18Z
15807	0	1	[0, 100, 3584, 5, 6255, 3195, 36, 1610, 7876, 43521, 65, 1836, 62, 31, 127, 4505, 3023, 29, 7, 1157, 13, 1823, 929, 198, 5, 28097, 4, 5, 3588, 2564, 10, 410, 739, 98, 5, 1823, 929, 938, 75, 2139, 4, 5, 10199, 21, 203, 29284, 87, 939, 421, 13, 5, 425, 477, 4, 5, 3588, 21, 11708, 8, 15, 127, 13026, 3024, 6328, 1415, 55, 101, 10, 6348, 9540, 87, 10, 3588, 4, 42, 189, 28, 5835, 15, 951, 10, 828, 26647, 4, 23, 195, 108, 306, 24, 95, 10601, 15, 127, 5120, 8, 399, 75, 109, 203, 13, 162, 4, 5, 12189, 32, 10, 2579, 2842, 53, 1374, 5, 847, 21, 29747, 24203, 8, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I purchased the sand color (beige/) one size up from my usual xs to allow for extra room around the hips. the dress fit a little large so the extra room wasn't necessary. the fabric was much thinner than i expected for the price point. the dress was sheer and on my lighter skin tone looked more like a lab coat than a dress. this may be stunning on someone a bit taller. at 5'4 it just hung on my frame and didn't do much for me. the pockets are a nice touch but overall the cut was unflattering and	2022-06-24T08:02:18Z
8897	0	1	[0, 100, 218, 75, 216, 99, 5, 936, 19, 42, 23204, 21, 15, 162, 53, 24, 95, 399, 75, 173, 4, 24, 21, 350, 1810, 420, 5, 6181, 1902, 1437, 939, 206, 1437, 2351, 10, 2233, 219, 3989, 14, 95, 399, 75, 356, 34203, 4, 751, 9, 14, 1437, 5, 23204, 21, 13719, 8, 2551, 157, 156, 4, 939, 21, 5074, 7, 2142, 24, 124, 1437, 941, 23, 5, 1392, 425, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I don't know what the problem with this sweater was on me but it just didn't work. it was too wide across the breastline  i think  creating a boxy shape that just didn't look flattering. outside of that  the sweater was lightweight and seemed well made. i was sad to send it back  especially at the sale price.	2022-06-24T08:02:18Z
11788	1	2	[0, 565, 10382, 15, 10, 1836, 132, 1675, 8, 24, 2564, 157, 1437, 1299, 5784, 3793, 8, 935, 219, 1437, 8, 16, 865, 31441, 868, 4, 939, 437, 195, 108, 176, 113, 1437, 855, 2357, 12, 1244, 12, 3272, 50, 2843, 1437, 19, 6787, 10762, 8, 28762, 1437, 5568, 251, 12, 2739, 15346, 53, 4716, 1459, 31, 11044, 7, 10762, 4, 939, 747, 3568, 10, 1836, 321, 642, 50, 321, 11, 6215, 14442, 8, 13657, 4, 5, 3124, 6538, 58, 10, 5262, 828, 614, 1437, 53, 45, 6587, 4, 10, 4716, 1459, 74, 33, 57, 10941, 1437, 53, 67, 55, 9, 41, 15167, 13977, 4, 5, 6907, 269, 16, 55, 9, 10, 1275, 101, 5, 804, 1345, 131, 372, 3195, 4, 2, 1, 1, 1, 1, 1, 1]	"Tried on a size 2 regular and it fit well  felt incredibly soft and airy  and is handwashable. i'm 5'2""  currently 33-25-37 or 38  with narrow shoulders and torso  somewhat long-waisted but petite from bust to shoulders. i often wear a size 0p or 0 in retailer dresses and tops. the arm holes were a tiny bit low  but not terrible. a petite would have been shorter  but also more of an empire waist. the pink really is more of a red like the online photo; great color."	2022-06-24T08:02:18Z
13729	-1	0	[0, 16587, 42, 299, 328, 24, 18, 1256, 1437, 2216, 8, 157, 156, 4, 939, 222, 1836, 159, 7, 10, 650, 13, 5135, 8, 202, 33, 10, 2829, 24901, 356, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Love this top! it's pretty  unique and well made. i did size down to a small for reference and still have a slightly oversized look.	2022-06-24T08:02:18Z
